No,Date,Workspace,Portfolio,Password,Login link,Login QR code image,Scale link,Scale QR code image,Social media link,Social media QR code image,Print link,Print QR code image,Email link,Email QR code image,Stand link,Stand QR code image,Report link,Report QR code image
VOCAB10170,2024-09-22 11:59:42,VOCAB,VOCAB10170,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006381448.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f51496bd811cadb1ab1&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006376838.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f51496bd811cadb1ab1&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006377934.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f51496bd811cadb1ab1&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006378645.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f51496bd811cadb1ab1&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006379359.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f51496bd811cadb1ab1&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006380062.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f51496bd811cadb1ab1,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006380761.png
VOCAB10171,2024-09-22 11:59:58,VOCAB,VOCAB10171,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006397991.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f5b496bd811cadb1ab2&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006393707.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f5b496bd811cadb1ab2&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006394434.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f5b496bd811cadb1ab2&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006395144.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f5b496bd811cadb1ab2&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006395888.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f5b496bd811cadb1ab2&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006396610.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f5b496bd811cadb1ab2,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006397311.png
VOCAB10172,2024-09-22 12:00:15,VOCAB,VOCAB10172,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006414423.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f64081ae0eb638ce07b&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006410091.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f64081ae0eb638ce07b&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006410797.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f64081ae0eb638ce07b&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006411503.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f64081ae0eb638ce07b&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006412243.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f64081ae0eb638ce07b&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006412974.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f64081ae0eb638ce07b,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006413705.png
VOCAB10173,2024-09-22 12:00:31,VOCAB,VOCAB10173,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006430398.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f6d081ae0eb638ce07c&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006426198.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f6d081ae0eb638ce07c&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006426919.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f6d081ae0eb638ce07c&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006427634.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f6d081ae0eb638ce07c&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006428329.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f6d081ae0eb638ce07c&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006429037.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f6d081ae0eb638ce07c,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006429729.png
VOCAB10174,2024-09-22 12:00:47,VOCAB,VOCAB10174,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006446461.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f767e2406a6c5061601&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006442159.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f767e2406a6c5061601&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006442900.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f767e2406a6c5061601&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006443645.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f767e2406a6c5061601&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006444379.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f767e2406a6c5061601&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006445090.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f767e2406a6c5061601,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006445778.png
VOCAB10175,2024-09-22 12:01:06,VOCAB,VOCAB10175,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006465443.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f7e496bd811cadb1ab3&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006461229.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f7e496bd811cadb1ab3&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006461940.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f7e496bd811cadb1ab3&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006462645.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f7e496bd811cadb1ab3&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006463345.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f7e496bd811cadb1ab3&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006464082.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f7e496bd811cadb1ab3,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006464762.png
VOCAB10176,2024-09-22 12:01:21,VOCAB,VOCAB10176,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006480980.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f89496bd811cadb1ab4&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006476767.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f89496bd811cadb1ab4&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006477477.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f89496bd811cadb1ab4&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006478175.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f89496bd811cadb1ab4&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006478889.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f89496bd811cadb1ab4&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006479600.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f89496bd811cadb1ab4,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006480294.png
VOCAB10177,2024-09-22 12:01:37,VOCAB,VOCAB10177,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006496428.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f91081ae0eb638ce07d&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006492206.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f91081ae0eb638ce07d&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006492918.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f91081ae0eb638ce07d&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006493619.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f91081ae0eb638ce07d&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006494327.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f91081ae0eb638ce07d&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006495037.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f91081ae0eb638ce07d,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006495737.png
VOCAB10178,2024-09-22 12:01:52,VOCAB,VOCAB10178,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006512023.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f9a081ae0eb638ce07e&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006507796.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f9a081ae0eb638ce07e&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006508515.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f9a081ae0eb638ce07e&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006509222.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f9a081ae0eb638ce07e&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006509939.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f9a081ae0eb638ce07e&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006510644.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8f9a081ae0eb638ce07e,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006511340.png
VOCAB10179,2024-09-22 12:02:08,VOCAB,VOCAB10179,,https://www.scales.uxlivinglab.online/api/voc/login/?workspace_name=VOCAB,http://dowellfileuploader.uxlivinglab.online/qrCodes/login_qrcode_1727006527602.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8faa081ae0eb638ce07f&scale_type=nps&channel=channel_1&instance_name=instance_1&channel_display_name=Channel 1&instance_display_name=Website,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006523372.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8faa081ae0eb638ce07f&scale_type=nps&channel=channel_1&instance_name=instance_2&channel_display_name=Channel 1&instance_display_name=Social Media,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006524082.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8faa081ae0eb638ce07f&scale_type=nps&channel=channel_1&instance_name=instance_3&channel_display_name=Channel 1&instance_display_name=Emails,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006524784.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8faa081ae0eb638ce07f&scale_type=nps&channel=channel_1&instance_name=instance_4&channel_display_name=Channel 1&instance_display_name=Print,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006525542.png,https://www.scales.uxlivinglab.online/api/voc/scale/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8faa081ae0eb638ce07f&scale_type=nps&channel=channel_1&instance_name=instance_5&channel_display_name=Channel 1&instance_display_name=Stand,http://dowellfileuploader.uxlivinglab.online/qrCodes/qrcode_1727006526245.png,https://www.scales.uxlivinglab.online/api/voc/report/?workspace_id=66b9ab8f8e615ce827af9115&username=VOCAB&scale_id=66ee8faa081ae0eb638ce07f,http://dowellfileuploader.uxlivinglab.online/qrCodes/report_qrcode_1727006526923.png
